user_id,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta2_mfcc_1,delta2_mfcc_2,delta2_mfcc_3,delta2_mfcc_4,delta2_mfcc_5,delta2_mfcc_6,delta2_mfcc_7,delta2_mfcc_8,delta2_mfcc_9,delta2_mfcc_10,delta2_mfcc_11,delta2_mfcc_12,delta2_mfcc_13,pitch_mean,energy_mean,zcr_mean,rolloff_mean
3,-728.1493,63.766624,18.537483,15.476876,4.626829,2.231592,-0.38568357,-0.44019806,-0.7322659,-3.6088703,-3.7603912,3.3312445,-3.459667,-1.0071884,0.42259583,0.0949034,0.25483724,0.11730252,-0.09244295,-0.079668894,-0.18439104,0.14561538,-0.019169012,-0.15989238,0.06264612,0.066771,0.06364699,-0.118145436,-0.0015781278,-0.005660728,-0.022443278,-0.023386015,-0.033526424,-0.008734698,-0.026120253,-0.039340004,-0.009226503,-0.016408753,-0.013588897,14.803512989062671,0.0022007022,0.061430754484953706,2927.7679443359375
3,-617.10626,58.099655,15.191096,13.379994,-0.77388567,4.75282,2.0651133,-6.94184,-2.5547957,1.2814252,3.8770065,3.9171808,-10.31148,-0.4401508,0.44174588,-0.09597282,-0.08568681,0.044280466,0.017944777,0.0260898,-0.08978195,0.07165153,-0.013280584,-0.009708272,0.019930713,-0.062386937,0.2021531,-0.18265541,-0.006660294,0.08429966,-0.025452614,-0.034533605,0.015688326,0.0240419,-0.020233419,-3.5453726e-05,-0.0068926327,0.01737075,0.005067123,20.841232258864377,0.0051610433,0.1251763237847222,4001.836140950521
3,-667.89844,46.477196,21.575052,26.149216,12.417033,5.516,-2.3560226,-4.346645,-0.28481424,-1.0111749,-5.1452,-0.79666466,-6.31181,-0.01545461,-0.00014139105,0.015266771,0.005760581,-0.0056461403,-0.012217557,-0.002680911,0.014057883,0.011669044,-0.01606877,-0.011779317,0.00979312,0.0084226355,-0.003873154,-0.003362232,0.005011912,0.009688748,-0.005490891,-0.011075572,0.0044674696,0.006791755,0.0013926647,-0.002924482,-0.007163825,-0.00012922287,0.01052151,19.782663840983023,0.004155892,0.12231897424768519,3924.5758056640625
3,-599.37744,43.670654,13.652813,16.80305,9.077407,-0.4314465,-6.324859,-2.3010504,0.17431754,-2.4681842,-2.9721043,1.7581673,-5.958143,-0.26376224,0.26237056,-0.050137695,-0.094240144,0.14243077,-0.11968943,0.063522786,-0.049903598,0.07098459,-0.027400926,-0.06575814,0.0935974,-0.04981524,0.11368891,-0.11668658,0.013094195,0.07060485,-0.07116027,0.021926606,0.0011517031,0.012498926,-0.02541543,0.020592466,-0.00011536037,-0.022371985,0.019101776,17.30245207078504,0.0039450484,0.15689652054398148,4620.6166585286455
3,-720.74146,39.02945,12.007378,19.066027,8.603265,-1.2877383,-0.97888523,-4.085552,-2.9130812,-2.059847,-5.139607,-0.27255747,-5.450357,-0.11400622,0.4353865,0.23215581,0.60278475,0.400477,-0.07270913,0.13197975,-0.062495675,0.008511398,-0.1009123,-0.03716496,0.020382121,-0.07065323,-0.5740384,0.020367863,-0.051223844,-0.2075715,0.044478625,0.082520306,0.059931774,-0.06583711,0.0024575072,0.04417538,0.11821123,-0.021759465,0.0061514475,17.35294958672597,0.002788488,0.10579427083333333,4005.9234619140625
3,-668.95013,45.10361,23.346142,18.454699,4.365606,2.075958,6.0752993,0.57423556,-4.9486523,0.72367257,-8.64583,1.311317,-4.1549373,-0.050460603,0.0017531713,0.08440922,0.06772928,-0.028289972,-0.061791614,0.03237002,0.08446211,0.04044033,-0.04695423,-0.037350133,0.0523639,0.06882928,-0.048941296,-0.021919992,0.038148493,0.026420267,-0.041553587,-0.062164005,-0.0004252151,0.039804395,0.008774073,-0.05209679,-0.04399536,0.015247102,0.031867106,20.56380993518798,0.00408023,0.08460376880787036,3587.5213623046875
3,-619.0718,50.724106,18.793995,23.436722,9.528045,4.879108,-8.369226,-3.139694,0.74350554,0.8575832,-3.276153,3.082201,-5.571345,-0.08078159,-0.03414366,0.09276999,0.08828216,-0.038071092,-0.106893204,-0.02577934,0.08553028,0.072643846,-0.037517667,-0.08682777,-0.014275317,0.069053285,-0.008638859,-0.0037582186,0.009776892,0.00960958,-0.0036427975,-0.011343845,-0.003294702,0.008618725,0.00803286,-0.0032002837,-0.0089920005,-0.0021923427,0.0066053383,19.233928809736703,0.005498333,0.1361355251736111,3989.1255696614585
3,-642.69196,59.144657,17.220764,15.356129,0.45924956,4.795255,-1.9026664,-4.4531455,-0.2447431,-3.4494302,-2.699223,1.2426331,-6.964904,0.027295642,-0.011296308,-0.017615248,-0.007938553,0.039005075,-0.017383695,-0.013538376,-0.0040935986,0.03158943,-0.011458097,-0.023346446,0.016623378,0.006335594,-0.06388534,0.04740806,0.0019113047,0.025868809,-0.05857156,0.015320919,0.033934806,-0.0068412223,-0.033726692,0.0068984604,0.03367583,-0.013574254,-0.019854978,13.93728668334826,0.004203713,0.11051432291666667,3161.5926106770835
3,-602.2147,61.01939,7.223806,12.721793,5.7073946,-0.02775708,-2.2030222,-4.7327094,-4.579405,-2.3399982,-2.421187,1.9703631,-4.3008246,-0.02087307,0.007500472,0.00628648,0.011958776,-0.00013543942,-0.025648816,0.008888298,0.0046819933,0.015024035,-0.008111203,-0.01787338,0.0051462674,0.008438945,-0.0070516975,0.0027464407,0.0016071752,0.00474513,-0.0010728659,-0.0073907906,0.0018949641,0.0024096128,0.004461977,-0.0025178636,-0.005879963,0.0015127416,0.0030904566,21.02391652047931,0.0060002715,0.11919487847222222,3894.6685791015625
3,-616.70715,47.828854,20.732138,20.845793,12.516007,4.690863,-4.1644,-2.2856457,0.48366743,0.49809146,-6.5912223,4.1674886,-7.4105616,-0.039050207,-0.019141832,0.028505502,0.052515738,0.008918532,-0.035343222,-0.04499418,0.00036481576,0.03857205,0.034301206,-0.0072722435,-0.03794506,-0.022630658,-0.019692386,-0.009432016,0.0141088255,0.026483713,0.0043783365,-0.017588325,-0.022691198,0.00018110099,0.019321641,0.0172946,-0.0035645785,-0.019159237,-0.011394225,28.764927978914404,0.005778997,0.12572337962962962,3877.422078450521
